project,sessions,bucket,beads_date,beadhub_date,path
beadhub,1039,beads+beadhub,2025-11-30,2025-11-30,/Users/juanre/prj/beadhub-all/beadhub
llmring,423,none,,,/Users/juanre/prj/llmring/llmring
docflow,297,beads+beadhub,2026-01-01,2025-12-14,/Users/juanre/prj/docflow
estratego,273,none,,,/Users/juanre/prj/estratego
qwave,257,beads,2025-12-17,,/Users/juanre/qtc/qwave
tsm,152,beads,2025-11-29,,/Users/juanre/tsm
beadhub-eve,116,beads+beadhub,2025-11-30,2025-11-30,/Users/juanre/prj/beadhub-all/beadhub
beadhub-cloud,112,beads,2025-12-03,,/Users/juanre/prj/beadhub-all/beadhub-cloud
beadhub-dave,104,beads+beadhub,2025-11-30,2025-11-30,/Users/juanre/prj/beadhub-all/beadhub
pgdbm,97,none,,,/Users/juanre/prj/pgdbm
llm-archivist,84,beads,2025-12-16,,/Users/juanre/prj/llm-archivist
agent-taylor,81,beads,2026-01-13,,/Users/juanre/prj/agent-taylor
beadhub-be,73,beads+beadhub,2025-11-30,2025-11-30,/Users/juanre/prj/beadhub-all/beadhub
beadhub-tester,63,beads+beadhub,2025-11-30,2025-11-30,/Users/juanre/prj/beadhub-all/beadhub
qtc-weekly-email,55,beads,2025-12-16,,/Users/juanre/qtc/qtc-weekly-email
llmemory,52,none,,,/Users/juanre/prj/llmemory
beadhub-bob,46,beads+beadhub,2025-11-30,2025-12-14,/Users/juanre/prj/beadhub-all/beadhub-bob
beadhub-reserve,41,beads+beadhub,2025-11-30,2025-11-30,/Users/juanre/prj/beadhub-all/beadhub
llmring-api,40,none,,,/Users/juanre/prj/llmring/llmring-api
registry,39,none,,,/Users/juanre/prj/llmring/registry
beadhub-frank,37,beads+beadhub,2025-11-30,2025-11-30,/Users/juanre/prj/beadhub-all/beadhub
tsm-astro,36,beads,2025-11-29,,/Users/juanre/tsm-astro
beadhub-coord,36,beads+beadhub,2025-11-30,2025-11-30,/Users/juanre/prj/beadhub-all/beadhub
beadhub-henry,31,beads+beadhub,2025-11-30,2025-11-30,/Users/juanre/prj/beadhub-all/beadhub
beadhub-all,30,beads+beadhub,2025-11-30,2025-11-30,/Users/juanre/prj/beadhub-all/beadhub
cjr,28,none,,,/Users/juanre/cjr
beadhub-cloud-grace,27,beads+beadhub,2025-11-30,2025-11-30,/Users/juanre/prj/beadhub-all/beadhub
llmring-server,26,none,,,/Users/juanre/prj/llmring/llmring-server
beadhub-cloud-frank,26,beads+beadhub,2025-11-30,2025-11-30,/Users/juanre/prj/beadhub-all/beadhub
beadhub-workspaces,25,beads+beadhub,2025-11-30,2025-11-30,/Users/juanre/prj/beadhub-all/beadhub
beadhub-cloud-helper,23,beads+beadhub,2025-11-30,2025-11-30,/Users/juanre/prj/beadhub-all/beadhub
beadhub-role,21,beads+beadhub,2025-11-30,2025-11-30,/Users/juanre/prj/beadhub-all/beadhub
printhead-db,20,none,,,/Users/juanre/qtc/printhead-db
canada-docs,16,beads,2026-01-12,,/Users/juanre/prj/canada-docs
jro,14,none,,,/Users/juanre/prj/jro
beadhub-fe,13,beads+beadhub,2025-11-30,2025-11-30,/Users/juanre/prj/beadhub-all/beadhub
com.jro,12,none,,,/Users/juanre/prj/com.jro
qres,10,beads,2025-12-04,,/Users/juanre/qtc/qres
beadhub-agent-name,9,beads+beadhub,2025-11-30,2025-11-30,/Users/juanre/prj/beadhub-all/beadhub
progress,7,none,,,/Users/juanre/qtc/progress
beadhub-projects,6,beads+beadhub,2025-11-30,2025-11-30,/Users/juanre/prj/beadhub-all/beadhub
beadhub-pagination,5,beads+beadhub,2025-11-30,2025-11-30,/Users/juanre/prj/beadhub-all/beadhub
beadhub-chat-dashboard,4,beads+beadhub,2025-11-30,2025-11-30,/Users/juanre/prj/beadhub-all/beadhub
ana_blocktest,3,none,,,/Users/juanre/qtc/ana_blocktest
ai-tools,2,none,,,/Users/juanre/prj/ai-tools
frontend,2,unmatched,,,
beadhub-chat,2,beads+beadhub,2025-11-30,2025-11-30,/Users/juanre/prj/beadhub-all/beadhub
drafts,1,unmatched,,,
llmring-mcp,1,unmatched,,,
intelligence,1,unmatched,,,
analytics_charts,1,unmatched,,,
saas-app,1,unmatched,,,
cli,1,unmatched,,,
commands,1,unmatched,,,
sim_openfoam_utils,1,unmatched,,,
(dashboard),1,unmatched,,,
aword,1,none,,,/Users/juanre/prj/aword
archivist,1,unmatched,,,
beadhub-mail,1,beads+beadhub,2025-11-30,2025-11-30,/Users/juanre/prj/beadhub-all/beadhub
waveforms,1,unmatched,,,
